Circuito,Ejecucion,Jensen-Shannon
pe_6_mqt.py,1,0.5107544695822127
grover-noancilla_4_mqt.py,1,0.5012137818039258
grover-noancilla_4_mqt.py,2,0.4678746639730994
qwalk-noancilla_3_mqt.py,1,0.41496762314633473
qwalk-noancilla_3_mqt.py,2,0.48439665307987645
qaoa_indep_3_mqt.py,1,0.47576900475613726
simon_vq.py,1,0.47408091439097017
simon_vq.py,2,0.16355592429784643
qaoa_indep_4_mqt.py,1,0.4222961024649229
qaoa_indep_4_mqt.py,2,0.20455981647715288
pe_3_mqt.py,1,0.38728119038291414
bv_3_vq.py,1,0.1618976312931544
bv_3_vq.py,2,0.13900475285901345
vqe_indep_5_mqt.py,1,0.2696336471033406
pe_4_mqt.py,1,0.27117636920359683
pe_4_mqt.py,2,0.37591107054748896
pe_6_vq.py,1,0.4724265263037739
pe_6_vq.py,2,0.4999884171871265
vqe_indep_3_mqt.py,1,0.16957329491709777
bv_9_vq.py,1,0.45793146973183946
bv_9_vq.py,2,0.4669095754166842
pe_5_mqt.py,1,0.422642223296163
pe_5_mqt.py,2,0.45112470036055513
qft_6_mqt.py,1,0.617068278536398
qft_6_mqt.py,2,0.6510146333859694
grover-v-chain_3_mqt.py,1,0.25101578294344234
grover-v-chain_3_mqt.py,2,0.14164650566653353
pe_5_vq.py,1,0.31827455184662456
pe_5_vq.py,2,0.2563338343687436
shor_mod21_mqt.py,1,0.35634840554681674
3_17tc_vq.py,1,0.17509717635423272
3_17tc_vq.py,2,0.13702278078881275
grover_3_vq.py,1,0.07304457065364753
grover_3_vq.py,2,0.16093126960985168
bv_5_vq.py,1,0.12648607385010444
bv_5_vq.py,2,0.26163403457489925
kickback_7_vq.py,1,0.00464936045714833
kickback_7_vq.py,2,0.01297542957299861
qft_2_mqt.py,1,0.12186750943993038
qft_2_mqt.py,2,0.06414459121504439
qwalk-v-chain_3_mqt.py,1,0.6959243238105539
qwalk-v-chain_3_mqt.py,2,0.3813308151013422
grover_7_vq.py,1,0.7849649125420709
grover_7_vq.py,2,0.7456748435500893
qft_7_vq.py,1,0.8236892563394606
grover-noancilla_3_mqt.py,1,0.2562936193219136
grover-noancilla_3_mqt.py,2,0.2562936193219136
qft_4_mqt.py,1,0.48005715439897184
shor_mod15_mqt.py,1,0.2222129467406796
shor_mod15_mqt.py,2,0.2552386581341924
tsp_indep_5_mqt.py,1,0.27906401897172084
qft_3_mqt.py,1,0.2879351859459111
qft_3_mqt.py,2,0.18150021541273517
pe_2_vq.py,1,0.22939306360123546
bv_2_vq.py,1,0.11862157380380604
bv_2_vq.py,2,0.05882564920009953
dj_indep_5_mqt.py,1,0.12778874256151498
dj_indep_5_mqt.py,2,0.26020111109723637
qft_3_vq.py,1,0.08911651632320074
qft_3_vq.py,2,0.11526308497835282
dj_indep_7_mqt.py,1,0.7185892526160034
dj_indep_7_mqt.py,2,0.3869282203760541
adder_n4_vq.py,1,0.19912112829429532
adder_n4_vq.py,2,0.1648061089885797
bv_4_vq.py,1,0.20924536081635806
bv_4_vq.py,2,0.21358988075749874
adder_n10_vq.py,1,0.7856793398023028
grover-v-chain_4_mqt.py,1,0.5976362141604956
adder_n7_vq.py,1,0.2596910135443729
qaoa_indep_5_mqt.py,1,0.2377384519734284
qaoa_indep_5_mqt.py,2,0.27405348829070925
dj_indep_4_mqt.py,1,0.15727381646470043
dj_indep_4_mqt.py,2,0.16655011204601497
su2random_3_mqt.py,1,0.10071950180532081
su2random_3_mqt.py,2,0.1121260053231534
su2_5_vq.py,1,0.20781741461583833
su2_5_vq.py,2,0.14904451688824533
pe_7_mqt.py,1,0.3359440038126874
pe_7_mqt.py,2,0.3237669315124838
